precursor,co2_uptake_lp,ch4_uptake_hp,logKH_CO2,logKH_CH4,pore_diameter,density,metal_frag,linker_smiles,label_co2_capture,label_ch4_storage
[Co].[O-]C(=O)c1ccncc1,1.456535433,1.6450184969,-3.069876046063075,-3.9083541422439225,4.455430000000001,1.52493,[Co],[O-]C(=O)c1ccncc1,0,0
Cl[Mn][Mn]Cl.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],0.452906283,8.4242319463,-4.353803176633964,-4.770093007366182,11.39486,0.949126,Cl[Mn][Mn]Cl,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],0,1
Cl[Co][Co]Cl.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],0.428605701,8.341119513099999,-4.388713329587092,-4.75537657156765,11.27344,0.979267,Cl[Co][Co]Cl,[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],0,1
[O]S(c1ccc(cc1)C1=C2C=CC(=C(c3ccc(cc3)S([O])([O])[O])C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccc(cc1)S([O])([O])[O])[N]4)c1ccc(cc1)S([O])([O])[O])C=C3)[N]2)([O])[O].[Tb],1.26188052,1.8359012974,-3.7280933702806585,-4.028960386324462,4.939690000000001,1.55108,[Tb],[O]S(c1ccc(cc1)C1=C2C=CC(=C(c3ccc(cc3)S([O])([O])[O])C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccc(cc1)S([O])([O])[O])[N]4)c1ccc(cc1)S([O])([O])[O])C=C3)[N]2)([O])[O],0,0
[Cu].n1ccc(cc1)c1cc(c2ccncc2)c(cc1c1ccncc1)c1ccncc1,0.374226447,17.698172036,-4.611687388996153,-4.979908162955454,9.47418,0.597233,[Cu],n1ccc(cc1)c1cc(c2ccncc2)c(cc1c1ccncc1)c1ccncc1,0,1
[La].[O-]C(=O)C(=O)[O-].[O-]C(=O)c1ncnc(c1)C(=O)[O-],2.78763455,2.5015883151,-2.858048804137247,-5.258424560065533,4.8208400000000005,1.76082,[La],[O-]C(=O)C(=O)[O-].[O-]C(=O)c1ncnc(c1)C(=O)[O-],1,0
[In].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(s1)C(=O)[O-],0.886360004,12.778656885699998,-3.7972338669421095,-4.832966378789206,18.8079,0.6743709999999999,[In],[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(s1)C(=O)[O-],0,1
[Ce].[O-]C(=O)C(=O)[O-].[O-]C(=O)c1ncnc(c1)C(=O)[O-],3.341852554,2.4305415118,-1.3342061349255447,-5.273100899787017,4.80529,1.7876,[Ce],[O-]C(=O)C(=O)[O-].[O-]C(=O)c1ncnc(c1)C(=O)[O-],1,0
[O-]C(=O)C(=O)[O-].[O-]C(=O)c1ncnc(c1)C(=O)[O-].[Pr],3.172503304,2.3801337315,-1.6205965730278182,-5.267496876078711,4.7727,1.81243,[Pr],[O-]C(=O)C(=O)[O-].[O-]C(=O)c1ncnc(c1)C(=O)[O-],1,0
[Nd].[O-]C(=O)C(=O)[O-].[O-]C(=O)c1ncnc(c1)C(=O)[O-],2.904365915,2.3505087583,-1.1176809894482511,-5.261868197525606,4.74458,1.84813,[Nd],[O-]C(=O)C(=O)[O-].[O-]C(=O)c1ncnc(c1)C(=O)[O-],1,0
[O-]C(=O)C(=O)[O-].[O-]C(=O)c1ncnc(c1)C(=O)[O-].[Sm],2.842930741,2.2285429246,-2.512905480577274,-5.264241462556262,4.73097,1.90641,[Sm],[O-]C(=O)C(=O)[O-].[O-]C(=O)c1ncnc(c1)C(=O)[O-],1,0
[Eu].[O-]C(=O)C(=O)[O-].[O-]C(=O)c1ncnc(c1)C(=O)[O-],2.629417934,2.1626109472,-2.7463204129574086,-5.275355546253636,4.70447,1.9293,[Eu],[O-]C(=O)C(=O)[O-].[O-]C(=O)c1ncnc(c1)C(=O)[O-],1,0
[Gd].[O-]C(=O)C(=O)[O-].[O-]C(=O)c1ncnc(c1)C(=O)[O-],1.789461104,2.1145325618,-3.731323761389159,-5.27695747361132,4.69665,1.96962,[Gd],[O-]C(=O)C(=O)[O-].[O-]C(=O)c1ncnc(c1)C(=O)[O-],0,0
[Co].[O-]C(=O)C1=NC=N[C]1C(=O)[O-].n1ccc(cc1)c1ccncc1,0.658138204,2.5456855026,-4.122955938249702,-4.887274377861426,4.33176,1.34661,[Co],[O-]C(=O)C1=NC=N[C]1C(=O)[O-].n1ccc(cc1)c1ccncc1,0,0
[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn][OH]1[Zn][OH]([Zn]1)[Zn],5.250078147,7.2854048733,-2.2966071550247977,-4.740272365635364,5.07969,1.15833,[Zn][OH]1[Zn][OH]([Zn]1)[Zn],[O-]C(=O)c1ccc(cc1)C(=O)[O-],1,0
C(Cn1nncn1)Cn1nncn1.C1=N[N]N([N]1)CCCn1nncn1.[Zn],1.067596155,6.4941404245,-4.0828554146357225,-4.4306541858154525,4.9476700000000005,1.0939,[Zn],C(Cn1nncn1)Cn1nncn1.C1=N[N]N([N]1)CCCn1nncn1,0,0
[Cu][Cu].[O-]C(=O)CCCC(=O)[O-].n1ccc(cc1)CCc1ccncc1,0.448378109,3.4597198276,-4.531692555606486,-4.8293100701466685,6.18649,1.30148,[Cu][Cu],[O-]C(=O)CCCC(=O)[O-].n1ccc(cc1)CCc1ccncc1,0,0
C(Cc1ccncc1)Cc1ccncc1.[Cu][Cu].[O-]C(=O)CCCC(=O)[O-],0.390933128,4.189002273,-4.607148345898332,-4.928950574598331,6.863980000000001,1.21871,[Cu][Cu],C(Cc1ccncc1)Cc1ccncc1.[O-]C(=O)CCCC(=O)[O-],0,0
[La].[O-]C(=O)c1cc(cc(c1)c1nnn(c1)c1cc(cc(c1)C(=O)O)C(=O)[O-])C(=O)[O-],3.661652706,2.0356465868,-1.5098405828891606,-5.1524933537007005,4.47083,1.59028,[La],[O-]C(=O)c1cc(cc(c1)c1nnn(c1)c1cc(cc(c1)C(=O)O)C(=O)[O-])C(=O)[O-],1,0
[Er].[O-]C(=O)c1cc(cc(c1)n1nnc(c1)c1cc(cc(c1)C(=O)O)C(=O)[O-])C(=O)[O-],1.848860865,1.6170121658,-3.1628416504440566,-5.661212930937992,3.96462,1.7866799999999998,[Er],[O-]C(=O)c1cc(cc(c1)n1nnc(c1)c1cc(cc(c1)C(=O)O)C(=O)[O-])C(=O)[O-],0,0
[Co].[O-]C=O,0.241336048,2.2037799078,-4.770082776033783,-5.158253341551744,5.10081,1.73515,[Co],[O-]C=O,0,0
[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn][O]([Zn])[Zn],1.130186081,7.8153665695,-3.961606381897776,-5.024871154349406,8.257760000000001,1.10094,[Zn][O]([Zn])[Zn],[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],0,0
OC1C(O)C(OC1n1ccc(nc1=O)N)COP(=O)([O])[O].OC1C(O)[C](OC1n1ccc(nc1=O)N)COP(=O)([O])[O].[Cd],0.14028769,0.6053253242000001,-5.04402137462374,-5.659268433735467,5.22092,1.73294,[Cd],OC1C(O)C(OC1n1ccc(nc1=O)N)COP(=O)([O])[O].OC1C(O)[C](OC1n1ccc(nc1=O)N)COP(=O)([O])[O],0,0
