precursor,n_mofs_sharing_precursor,co2_uptake_range,ch4_uptake_range
Br[Zn]Br.n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1,3,0.41624565599999996,2.1151405201000006
C(=CCn1cnnc1)Cn1cnnc1.[Cu],2,3.1827637639999997,4.4217853227
C(CCN1[CH]N=C[N]1)CCCn1cncn1.C(CCN1[N]C=N[CH]1)CCCN1[N]C=N[CH]1.[Cu],4,1.460163302,2.6699244236000004
C(CCN1[CH]N=C[N]1)CCCn1cncn1.C(CCn1ncnc1)CCCn1ncnc1.[Cu],2,1.923272602,1.4966254927999998
C(CN1[N]C=N[CH]1)CCN1[N]C=N[CH]1.C(CN1[N]C=N[CH]1)CCn1ncnc1.[Cu],3,0.7581732,6.9225498213
C(Cc1ccncc1)Cc1ccncc1.N#N.[C]#[C].[Cu]1[S]2[Cu]3[Mo]4562[S]1[Cu]4[S]6[Cu][S]35,3,0.043437236000000046,0.1775517658000001
C(Cc1ccncc1)Cc1ccncc1.[Cd].[O-]C(=O)c1ccc(s1)C(=O)[O-],2,0.040011585000000016,0.0009115250999998104
C(Cc1ccncc1)Cc1ccncc1.[Cu].[O-]C(=O)C1=NN=N[N]1,2,0.00322038899999999,0.0008392223999997839
C(Cc1ccncc1)Cc1ccncc1.[Cu].[O-]C(=O)C1=NN=N[N]1.[O-]C(=O)C1=N[N]N=N1,3,0.048370303,0.007293272599999678
C(Cc1ccncc1)Cc1ccncc1.[O]P(=O)[O].[Zn],5,0.863727655,6.533687892500001
C(Cn1cncc1)CCn1cncc1.[Cd],2,4.852875813,6.243796524299999
C(Cn1cncc1)CCn1cncc1.[Cd].[O-]C(=O)c1ncccc1C(=O)[O-],3,0.0877627270000001,0.1098159606000002
C(Cn1cncc1)CCn1cncc1.[O-]C(=O)c1cc(c(cc1c1ccc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-])c1ccc(cc1C(=O)[O-])C(=O)[O-].[Zn],2,0.46271663100000016,3.7678120727
C(Cn1ncnc1)CCn1ncnc1.[Cu],3,0.531713173,1.2236912227000003
C1=C[N]C=N1.C1=N[CH]C=N1.O=N(=O)C1=NC=C[N]1.[Zn],2,0.0056763670000000155,0.020146409699998813
C1=C[N]C=N1.C1=N[CH]C=N1.[Co],4,0.35429775500000005,1.7932218042000003
C1=C[N]C=N1.C1=N[CH]C=N1.[Zn],9,1.244361985,6.6778391851
C1=C[N]C=N1.[Zn],4,0.554525312,0.35023464829999895
C1=C[N][C]=N1.[C]1=N[CH]C=N1.[Zn],3,0.55682469,1.1751643165000019
C1=NC=[N]=C[N]1.[Ag],2,0.09402187399999995,1.9501782796000002
C1=N[CH]N([N]1)Cc1ccc(cc1)Cn1cncn1.N1=C[N]N([CH]1)Cc1ccc(cc1)CN1[N]C=N[CH]1.[Cu],2,0.13529276899999998,5.0294849862
C1=N[CH]N([N]1)Cc1ccc(cc1)Cn1cncn1.N1=C[N]N([CH]1)Cc1ccc(cc1)CN1[N]C=N[CH]1.[Mo].[Ni].[O].[O]P(=O)([O])[O],2,0.012853162000000085,0.003121983499999814
C1=N[N]C=N1.[Cu].[N]1C=NN=C1,8,0.582549025,1.2115927648000007
C1=N[N]C=N1.[N]1=CN=NC=1.[N]1C=NN=C1.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn],2,1.991730512,2.526868922500001
C1CC[Si](C1)(c1ccncc1)c1ccncc1.[Ag],2,0.42176537800000014,0.2970828394999998
C1CN2CCN1CC2.I[Cu]12[Cu]3([Cu]1([Cu]23I)I)I.[Cu].c1cc(cc(c1)C1=Nc2c([N]1)cccc2)C1=Nc2c([N]1)cccc2,3,0.02328643999999999,0.5389856684000005
C1CN2CCN1CC2.[Ag],2,0.025340211000000057,0.021256650199999783
C1CN2CCN1CC2.[Ni][Ni].[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-],6,0.47132982800000006,10.1551537665
C1CN2CCN1CC2.[O-]C(=O)c1cc(C)c(cc1C)C(=O)[O-].[Zn][Zn],2,0.004590404000000214,0.01384593599999917
C1N2CN3CN1CN(C2)C3.[Ag],10,2.3651391569999998,7.6797811144
C1N2CN3CN1CN(C2)C3.[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-].[Zn].[Zn][Zn],6,0.0727607910000001,0.19795999389999963
C=C(C(=C)C(=O)[O-])C(=O)[O-].[Cd].n1ccc(cc1)c1ccncc1,2,0.06553176999999977,0.019444316299999986
CC(=O)[N][N]C(=O)c1ccccc1[O].[Mn].n1ccc(cc1)CCc1ccncc1,4,0.23971100999999995,0.39124863689999856
CC(C(=O)[O-])NC(=O)c1cc(cc(c1)C(=O)NC(C(=O)[O-])C)C(=O)NC(C(=O)[O-])C.[Co].n1ccc(cc1)c1ccncc1,2,0.040348886999999944,0.0398998045999992
CC(C(=O)[O-])NCc1ccncc1.Cl[Zn],2,0.004666693999999999,0.12870852540000044
CC(C(=O)[O-])NCc1ccncc1.[Zn],3,2.745629385,0.21029944400000034
CC(C(=O)[O-])Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd].c1ncn(c1)c1ccc(cc1)n1cncc1,2,0.05094792600000009,0.04567488679999965
CC(C(=O)[O-])[N]Cc1ccncc1.[Zn],2,0.0788073090000001,0.11550271149999958
CC(C(C(=O)[O-])NCc1ccncc1)C.Cl[Zn],2,0.018107645999999977,0.0066849986999999444
CC(C(C(=O)[O-])NCc1ccncc1)C.[Zn]Br,2,0.0026945640000000104,0.009596429600000178
CC(P(=O)(O)[O])(P(=O)([O])[O])O.CC(P(=O)([O])O)(P(=O)([O])[O])O.C[C](P(=O)(O)[O])O.C[C](P(=O)([O])O)O.[Sr],2,0.08357135400000004,0.0039923818000000555
CC(P(=O)([O])[O])(P(=O)([O])[O])O.[U],2,0.042304668000000004,0.09802519339999982
CC(c1cc2Sc3cc(cc(c3SCCn3[n-]ccc3)Sc3cc(cc(Sc4c(c(Sc(c1)c2SCCn1[n-]ccc1)cc(c4)C(C)(C)C)SCCn1[n-]ccc1)c3SCCn1[n-]ccc1)C(C)(C)C)C(C)(C)C)(C)C.[Ag],3,0.9086342760000001,0.1393532775000006
CC1=NC(=C([N]1)C(=O)[O-])C(=O)[O-].CC1=N[C](C(=N1)C(=O)[O-])C(=O)[O-].[Eu].[O-]C(=O)C1=N[C]=N[C]1C(=O)[O-].[O-]C(=O)C1=N[C]N=C1C(=O)[O-].[Zn],2,0.03562683099999964,0.035596697899999974
CC1=NC=C[N]1.CC1=N[CH]C=N1.[Zn],8,0.143099306,0.7770675213000011
CC1=NC=C[N]1.[Zn],8,0.08293366599999999,0.7600802823000006
