application,feature_group,model,split_type,n_seeds,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,enrichment_top10_mean,enrichment_top10_std,enrichment_top25_mean,enrichment_top25_std,train_time_sec_mean,train_time_sec_std,inference_time_sec_per_sample_mean,inference_time_sec_per_sample_std,peak_train_memory_kb_mean,peak_train_memory_kb_std,model_size_kb_mean,model_size_kb_std
co2_capture,precursor_only,logistic_regression,scaffold,3,0.7305539903148709,0.06087832589829454,0.47000912255149546,0.14463425821091708,0.2938273430001371,0.059848960407428944,0.3381474772250788,0.034899980972855855,0.650396961923464,0.040591343164849386,0.3799266751911993,0.0885747345252027,2.1570909493380515,0.5496807078723837,1.5402996024914861,0.2649083100436256,0.32630199999994147,0.04584260940773456,8.367312351613383e-06,1.4246928754470098e-06,24000.892252604168,3479.2839003621143,12.1640625,0.0
co2_capture,precursor_only,random_forest,scaffold,3,0.7748999495205074,0.023914994596292382,0.6300808775035579,0.18284233129757857,0.11125429921385803,0.024435416287968283,0.1866768779015645,0.03581232689720316,0.7036285678770701,0.05501973150378512,0.4461364919610585,0.11812218222429759,2.4034052332329154,0.20869479172198344,1.8090296294222237,0.13652031365476078,1.7628664333334048,0.04789997773239784,5.744026827889239e-05,1.918765161307089e-05,16944.749674479168,2433.2417592379497,9821.784505208334,698.9131396413756
co2_capture,precursor_only,xgboost,scaffold,3,0.7550714991168084,0.03300644815389069,0.5449785816277962,0.19261565799942543,0.2503452940033823,0.05074744625282122,0.3195158101025904,0.011404943552998792,0.6787209467877146,0.05913004313569767,0.43220595339572937,0.12302740599669473,2.1399553561478566,0.5354325293525799,1.7017512095640945,0.25694138835273733,1.4425009333332734,0.04581391123326199,5.272569374115127e-05,1.434439482263086e-05,5889.439453125,810.2858303723831,318.5296223958333,121.16521299767867
co2_capture,descriptor_only,logistic_regression,scaffold,3,0.7601950942994037,0.011097328273401975,0.48929214803892246,0.23260927014591573,0.15256853032588327,0.09599608194726471,0.21222917229564509,0.1052597379639469,0.6746586041139203,0.06185099879849505,0.4046778991859088,0.13258588429829113,2.148155670276196,0.47510605883060775,1.724931221411987,0.25835219809002247,0.13237690000012967,0.017931613867351683,1.769413756401973e-06,6.224253349999943e-07,1623.1302083333333,221.14179469916095,1.978515625,0.0
co2_capture,descriptor_only,random_forest,scaffold,3,0.7898142269774174,0.006421866880507228,0.6047971979860525,0.1265578139364938,0.26503332247817546,0.046303012503030726,0.3684254977327448,0.06806880685277356,0.7187781907841503,0.04252795170446721,0.4931550771496938,0.09676104851068802,2.6003843366944976,0.2481119730696468,1.9459406639927674,0.13263043259036614,1.6627271333333435,0.029986700957959824,5.5571645844187206e-05,2.0989349470416596e-05,4486.436197916667,554.6731000152358,5690.448567708333,244.8735567813803
co2_capture,descriptor_only,xgboost,scaffold,3,0.7720359495302805,0.002113756941725743,0.5106337987468851,0.10447594396967476,0.31136199380684676,0.05564770614534782,0.38675491614187324,0.07283737045809287,0.7048037738990276,0.03358528008319751,0.4554445775494412,0.06697402319207306,2.4619294610729097,0.10374322740420716,1.7511300913618524,0.1214853100543138,0.2709138333333006,0.016306458000886467,4.034847154091838e-06,1.2445278529810189e-06,149.47005208333334,35.33405616308793,543.5524088541666,11.701411471673673
co2_capture,precursor_descriptor,logistic_regression,scaffold,3,0.7390543185419253,0.040669981513507675,0.4681315107656571,0.1274800381041855,0.3271351809954751,0.04600404281194093,0.3688144831307593,0.019248266684654184,0.6667460423993005,0.037481539622263915,0.38545001376612636,0.08909094516406563,2.070048220133437,0.6585634254763241,1.7330472524345952,0.20044014499760646,0.5168011999999939,0.07961248996702008,7.479540688907328e-06,1.14394942826978e-06,25127.275716145832,3664.6299438927545,12.986328125,0.0
co2_capture,precursor_descriptor,random_forest,scaffold,3,0.7799265553414013,0.011371185395734017,0.6197118288739651,0.18643204141966346,0.19939032576900226,0.0033402952653337915,0.29667179924409265,0.016048802302091374,0.7371764996110116,0.05209544370544774,0.5040858502596476,0.12288512206705268,2.4848422904311334,0.2858893599852453,2.0276539564061236,0.17486064524994957,1.7013233333332967,0.020294072711879454,5.9212753479444095e-05,2.1400233160877546e-05,17950.84765625,2585.7519079728318,6845.400065104167,3494.475500942935
co2_capture,precursor_descriptor,xgboost,scaffold,3,0.7850417410724703,0.015062168375573544,0.5983842371187879,0.15638234016073446,0.2834156754193519,0.028007448124534057,0.3805885932383714,0.054278887978533745,0.7266792473514343,0.04470725588626031,0.4903679201136238,0.11468773693959361,2.5630775692773953,0.3230098505311898,1.8980647126165484,0.25578711397296133,1.6877728666666674,0.1919630604161423,4.089048891380559e-05,9.986965664579959e-06,5915.633463541667,811.208695943521,236.04459635416666,3.941844770024845
ch4_storage,precursor_only,logistic_regression,scaffold,3,0.7496842214190919,0.08521562892112253,0.5420889866532662,0.09831387363292657,0.3625414327343754,0.11431878459504828,0.4262807758131279,0.10072668452211331,0.7320138694301521,0.06487174158672185,0.5057875221633846,0.07641166041608362,2.3309971830122085,0.8598958490487091,1.9719945402307728,0.5043303762663921,0.31496166666670433,0.03702136046087949,7.924330204846751e-06,9.228166762345242e-07,23660.748372395832,3449.098430140408,12.1640625,0.0
ch4_storage,precursor_only,random_forest,scaffold,3,0.8056151472208297,0.05445021646541826,0.7775085268730234,0.047614728004079475,0.3348940529462558,0.11897884681861384,0.4590545502229216,0.1173724973530996,0.7851344779839765,0.04819135360317527,0.6261114824941606,0.0987766208844556,3.120229422871668,0.6572887367888939,2.206332101352006,0.2990767049377195,1.6667553999999807,0.028870872124797116,5.849582983748978e-05,2.1511258960008288e-05,16917.394205729168,2433.776713670935,10895.606119791666,554.2455502615692
ch4_storage,precursor_only,xgboost,scaffold,3,0.8014037334808647,0.05376476926707645,0.7142291967291966,0.02976475365456344,0.39010674563051745,0.09257007243892465,0.49826595108788013,0.0771193303448822,0.7791660806952896,0.034237647463112225,0.6178903872666943,0.09079759541812674,3.0934878786765747,0.7175090216542684,2.18363628162259,0.2734314269710218,1.5709176000000298,0.19467337359179657,4.5663245774127944e-05,1.1204913036571493e-05,5890.659505208333,812.0324133060434,495.4391276041667,9.163238473888981
