mof_id,precursor,prediction,calibrated_confidence,raw_confidence,shap_reason,action
8552,[Fe][O]([Fe])[Fe].[O-]C(=O)c1ccc(cc1)C1=C2C=CC3=[N]2[Co]24(n5c1ccc5C(=C1[N]2=C(C=C1)C(=c1n4c(=C3c2ccc(cc2)C(=O)[O-])cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])[Co].[O-]C(=O)c1ccc(cc1)C1=C2C=CC3=[N]2[Co]24n5c1ccc5C(=C1[N](=C(C(=c5n4c(=C3c3ccc(cc3)C(=O)[O-])cc5)c3ccc(cc3)C(=O)[O-])C=C1)[Co]2)c1ccc(cc1)C(=O)[O-],promising,0.83,0.991,+HeavyAtomCount / +num_metal_atoms,prioritize
2245,[Cu][Cu].[O-]C(=O)c1cc(C#Cc2ccc(cc2)c2cc(cc(c2)c2ccc(cc2)C#Cc2cc(cc(c2)C(=O)[O-])C(=O)[O-])c2ccc(cc2)C#Cc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],promising,0.829,0.988,+HeavyAtomCount / +num_metal_atoms,prioritize
3744,[Cu][Cu].[O-]C(=O)c1cc(C#Cc2ccc(cc2)c2cc(cc(c2)c2ccc(cc2)C#Cc2cc(cc(c2)C(=O)[O-])C(=O)[O-])c2ccc(cc2)C#Cc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],promising,0.829,0.988,+HeavyAtomCount / +num_metal_atoms,prioritize
7949,Cl[Cu].N1=NN=C([N]1)c1ccc(cc1)[Si](c1ccc(cc1)C1=NN=N[N]1)(c1ccc(cc1)C1=NN=N[N]1)c1ccc(cc1)C1=NN=N[N]1.[Cu].[N]1N=NC(=N1)c1ccc(cc1)[Si](c1ccc(cc1)C1=NN=N[N]1)(c1ccc(cc1)C1=NN=N[N]1)c1ccc(cc1)C1=NN=N[N]1,promising,0.827,0.984,+HeavyAtomCount / +metal_covalent_radius_avg,prioritize
7212,[C][C]Oc1cc(C=Cc2ccc(cc2)C(=O)[O-])c2c(c1c1c(O[C][C])cc(c3c1ccc(c3)C=Cc1ccc(cc1)C(=O)[O-])C=Cc1ccc(cc1)C(=O)[O-])ccc(c2)C=Cc1ccc(cc1)C(=O)[O-].[Cu][Cu],promising,0.825,0.981,+HeavyAtomCount / +num_metal_atoms,prioritize
7213,[Cu][Cu].[O]c1cc(C=Cc2ccc(cc2)C(=O)[O-])c2c(c1c1c([O])cc(c3c1ccc(c3)C=Cc1ccc(cc1)C(=O)[O-])C=Cc1ccc(cc1)C(=O)[O-])ccc(c2)C=Cc1ccc(cc1)C(=O)[O-],promising,0.824,0.979,+HeavyAtomCount / +num_metal_atoms,prioritize
8513,[Fe][O]([Fe])[Fe].[O-]C(=O)c1ccc(cc1)C1=C2C=CC3=[N]2[Fe]24(n5c1ccc5C(=C1[N]2=C(C=C1)C(=c1n4c(=C3c2ccc(cc2)C(=O)[O-])cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])(Cl)Cl,promising,0.824,0.978,+HeavyAtomCount / +metal_covalent_radius_avg,prioritize
3895,[Cu][Cu].[O-]C(=O)c1cc(C#CC#Cc2cc(C#CC#Cc3cc(cc(c3)C(=O)[O-])C(=O)[O-])cc(c2)C#CC#Cc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],promising,0.821,0.973,+num_metal_atoms / +metal_covalent_radius_avg,prioritize
461,[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)C1=C2C=CC3=[N]2[Zn]24(n5c1ccc5C(=C1[N]2=C(C=C1)C(=c1n4c(=C3c2cc(cc(c2)c2ccc(cc2)C(=O)[O-])c2ccc(cc2)C(=O)[O-])cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-])[Zn])c1ccc(cc1)C(=O)[O-].[Zn][Zn],promising,0.821,0.972,+HeavyAtomCount / +num_metal_atoms,prioritize
4618,[Al].[O-]C(=O)C1=[C][C]=[C]C(=[C]1)C(=O)[O-].[O],promising,0.82,0.972,+metal_covalent_radius_avg / +metal_atomic_weight_avg,prioritize
