mof_id,precursor,prediction,calibrated_confidence,raw_confidence,shap_reason,action
4128,[Eu].[O-]C(=O)c1cc(cc(c1)c1ccc2c(c1)ccc(c2)C(=O)[O-])C(=O)[O-],promising,0.715,0.926,+metal_electronegativity_avg / +metal_covalent_radius_avg,prioritize
3917,Fc1c(Cc2ccncc2)c(F)c(c(c1F)Cc1ccncc1)F.[Cd],promising,0.713,0.924,+fp_187 / +TPSA,prioritize
3918,Fc1c(Cc2ccncc2)c(F)c(c(c1F)Cc1ccncc1)F.[Cd],promising,0.713,0.924,+fp_187 / +TPSA,prioritize
3923,Fc1c(Cc2ccncc2)c(F)c(c(c1F)Cc1ccncc1)F.[Cd],promising,0.713,0.924,+fp_187 / +TPSA,prioritize
3919,Fc1c(Cc2ccncc2)c(F)c(c(c1F)Cc1ccncc1)F.[Cd],promising,0.713,0.924,+fp_187 / +TPSA,prioritize
3921,Fc1c(Cc2ccncc2)c(F)c(c(c1F)Cc1ccncc1)F.[Cd],promising,0.713,0.924,+fp_187 / +TPSA,prioritize
3920,Fc1c(Cc2ccncc2)c(F)c(c(c1F)Cc1ccncc1)F.[Cd],promising,0.713,0.924,+fp_187 / +TPSA,prioritize
5120,Fc1c(Cc2ccncc2)c(F)c(c(c1F)Cc1ccncc1)F.[Cd],promising,0.713,0.924,+fp_187 / +TPSA,prioritize
3922,Fc1c(Cc2ccncc2)c(F)c(c(c1F)Cc1ccncc1)F.[Cd],promising,0.713,0.924,+fp_187 / +TPSA,prioritize
118,[Ce].[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1)C(=O)[O-],promising,0.697,0.898,+metal_covalent_radius_avg / +metal_electronegativity_avg,needs further test
122,[Ce].[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1)C(=O)[O-],promising,0.697,0.898,+metal_covalent_radius_avg / +metal_electronegativity_avg,needs further test
900,[Eu].[O-]C(=O)c1ccc(cc1)[C]=Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-],promising,0.686,0.881,+metal_electronegativity_avg / +metal_covalent_radius_avg,needs further test
4595,[O-]C(=O)c1cc2c(s1)c1cc(sc1c1c2sc(c1)C(=O)[O-])C(=O)[O-].[Sr]1[Sr][O]21[Sr][Sr]2.[Sr][O]1([Sr])[Sr][Sr]1,promising,0.663,0.847,+metal_electronegativity_avg / +num_metal_atoms,needs further test
4129,[O-]C(=O)c1cc(cc(c1)c1ccc2c(c1)ccc(c2)C(=O)[O-])C(=O)[O-].[Tb],promising,0.658,0.84,+metal_electronegativity_avg / +fp_31,needs further test
6508,O=C(c1cc(cc(c1)C(=O)Nc1ccc(cc1)C(=O)[O-])C(=O)Nc1ccc(cc1)C(=O)[O-])Nc1ccc(cc1)C(=O)[O-].[Ce],promising,0.657,0.839,+metal_covalent_radius_avg / +metal_electronegativity_avg,needs further test
8540,[Mg][O]([Mg])[Mg].[O-]C(=O)c1cc(N=Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],promising,0.652,0.831,+metal_Mg / +metal_electronegativity_avg,needs further test
901,[Eu].[O-]C(=O)c1ccc(cc1)C=Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[O-]C(=O)c1ccc(cc1)[CH][N]c1cc(cc(c1)C(=O)[O-])C(=O)[O-],promising,0.651,0.83,+metal_electronegativity_avg / +metal_covalent_radius_avg,needs further test
5690,C1N2CN3CN1CN(C2)C3.[Cd].[O-]C(=O)C=CC(=O)[O-],promising,0.639,0.813,+FractionCSP3 / +fp_37,needs further test
1541,Oc1cccc(c1)C1=N[C](C(=N1)C(=O)[O-])C(=O)[O-].[Mn],promising,0.632,0.803,+metal_atomic_weight_avg / +fp_47,needs further test
597,[Ce].[O-]C(=O)C1=[C]C(=C([C]=C1O)C(=O)[O-])O.[O-]C(=O)c1cc(O)c(cc1O)C(=O)[O-].[O-]C(=O)c1cc([O])c(cc1[O])C(=O)[O-],promising,0.628,0.797,+metal_covalent_radius_avg / +metal_electronegativity_avg,needs further test
119,[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1)C(=O)[O-].[Sm],promising,0.614,0.778,+metal_electronegativity_avg / +metal_covalent_radius_avg,needs further test
7929,O=C1CCCN1.[Mn].[O-]C(=O)c1ccc(s1)C(=O)[O-],promising,0.61,0.772,+fp_187 / +metal_atomic_weight_avg,needs further test
2387,[O-]C(=O)c1cc(CCc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[Tb],promising,0.605,0.765,+metal_electronegativity_avg / +fp_31,needs further test
1391,[Nd].[O-]C(=O)C1=CC=C([CH]N1)C(=O)[O-].[O-]C(=O)c1ccc(cn1)C(=O)[O-],promising,0.603,0.763,+metal_covalent_radius_avg / +metal_electronegativity_avg,needs further test
446,[Dy].[O-]C(=O)c1ccc(cc1)[C]=Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-],promising,0.587,0.741,+metal_electronegativity_avg / +fp_31,needs further test
6123,O=C(c1ccc(cc1)C(=O)[O-])c1cc(cc(c1)C(=O)c1ccc(cc1)C(=O)[O-])C(=O)c1ccc(cc1)C(=O)[O-].[Tb],promising,0.584,0.737,+metal_electronegativity_avg / +fp_31,needs further test
4130,[Ho].[O-]C(=O)c1cc(cc(c1)c1ccc2c(c1)ccc(c2)C(=O)[O-])C(=O)[O-],promising,0.57,0.718,+metal_electronegativity_avg / -metal_atomic_weight_avg,needs further test
4394,[Co].c1ccc(cn1)CN1CCN(CC1)Cc1cccnc1,promising,0.56,0.705,+FractionCSP3 / +fp_255,needs further test
4553,[Cd].[O-]C(=O)c1cc(cc(c1)c1ccc2c(c1)ccc(c2)C(=O)[O-])C(=O)[O-],promising,0.533,0.669,+num_metal_atoms / +fp_177,needs further test
4395,[Zn].c1ccc(cn1)CN1CCN(CC1)Cc1cccnc1,promising,0.531,0.667,+FractionCSP3 / +fp_158,needs further test
4960,[Mn].[O-]C(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)[O-])c1ccncc1,promising,0.518,0.65,+metal_atomic_weight_avg / +metal_electronegativity_avg,needs further test
120,[Eu].[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1)C(=O)[O-],promising,0.511,0.641,+metal_electronegativity_avg / +metal_covalent_radius_avg,needs further test
2473,[Mg].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-],promising,0.508,0.637,+metal_Mg / +metal_electronegativity_avg,needs further test
2474,[Mg].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-],promising,0.508,0.637,+metal_Mg / +metal_electronegativity_avg,needs further test
2477,[Mg].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-],promising,0.508,0.637,+metal_Mg / +metal_electronegativity_avg,needs further test
2476,[Mg].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-],promising,0.508,0.637,+metal_Mg / +metal_electronegativity_avg,needs further test
1556,[Mg].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-],promising,0.508,0.637,+metal_Mg / +metal_electronegativity_avg,needs further test
1555,[Mg].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-],promising,0.508,0.637,+metal_Mg / +metal_electronegativity_avg,needs further test
1553,[Mg].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-],promising,0.508,0.637,+metal_Mg / +metal_electronegativity_avg,needs further test
1554,[Mg].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-],promising,0.508,0.637,+metal_Mg / +metal_electronegativity_avg,needs further test
2478,[Mg].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-],promising,0.508,0.637,+metal_Mg / +metal_electronegativity_avg,needs further test
2475,[Mg].[O-]C(=O)c1ccc(cc1)C(=O)[O-].[O-][n+]1ccc(cc1)c1cc[n+](cc1)[O-],promising,0.508,0.637,+metal_Mg / +metal_electronegativity_avg,needs further test
445,[Ho].[O-]C(=O)c1ccc(cc1)[C]=Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-],not promising,0.499,0.626,+metal_electronegativity_avg / +fp_31,needs further test
7753,[Mn].[O-]C(=O)c1cc(cc(c1)n1cnc2c1cccc2)n1cnc2c1cccc2,not promising,0.492,0.615,+metal_atomic_weight_avg / +metal_Mn,needs further test
7750,[Mn].[O-]C(=O)c1cc(cc(c1)n1cnc2c1cccc2)n1cnc2c1cccc2,not promising,0.492,0.615,+metal_atomic_weight_avg / +metal_Mn,needs further test
7748,[Mn].[O-]C(=O)c1cc(cc(c1)n1cnc2c1cccc2)n1cnc2c1cccc2,not promising,0.492,0.615,+metal_atomic_weight_avg / +metal_Mn,needs further test
7752,[Mn].[O-]C(=O)c1cc(cc(c1)n1cnc2c1cccc2)n1cnc2c1cccc2,not promising,0.492,0.615,+metal_atomic_weight_avg / +metal_Mn,needs further test
