mof_id,precursor,error_type,likely_cause
68,[Cu].n1ncn(c1)c1ccc(cc1)n1cnnc1,false_negative,unexplained
118,[Ce].[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1)C(=O)[O-],false_negative,unusual_metal
119,[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1)C(=O)[O-].[Sm],false_negative,unusual_metal
120,[Eu].[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1)C(=O)[O-],false_negative,unexplained
121,[Gd].[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1)C(=O)[O-],false_negative,unexplained
122,[Ce].[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1)C(=O)[O-],false_negative,unusual_metal
178,[Cd].[O-]C(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)[O-])c1ccncc1,false_negative,unexplained
199,[Cu].n1ncc([nH]1)c1ccc(cc1)c1cnn[nH]1,false_positive,unexplained
313,C1=NC=C(C=[C]1)[C]Oc1c2cccc1Cc1cccc(c1OCc1cccnc1)Cc1c(c(Cc3c(c(C2)ccc3)OCc2cccnc2)ccc1)OCc1cccnc1.C1=[C]C=C(C=N1)[C]Oc1c2cccc1Cc1cccc(c1OCc1cccnc1)Cc1c(c(Cc3c(c(C2)ccc3)OCc2cccnc2)ccc1)OCc1cccnc1.[Zn].c1ccc(cn1)COc1c2cccc1Cc1cccc(c1OCc1cccnc1)Cc1c(c(Cc3c(c(C2)ccc3)OCc2cccnc2)ccc1)OCc1cccnc1,false_negative,out_of_domain_size
322,C1N2CN3CN1CN(C2)C3.[Ag],false_negative,unexplained
432,[Ni][OH2]([Ni])[Ni].[O-]C(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)[O-])c1ccncc1,false_negative,unexplained
433,[Ni][OH2]([Ni])[Ni].[O-]C(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)[O-])c1ccncc1,false_negative,unexplained
434,[Ni][OH2]([Ni])[Ni].[O-]C(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)[O-])c1ccncc1,false_negative,unexplained
435,[Ni][OH2]([Ni])[Ni].[O-]C(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)[O-])c1ccncc1,false_negative,unexplained
437,[Ni][O]([Ni])[Ni].[O-]C(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)[O-])c1ccncc1,false_negative,unexplained
446,[Dy].[O-]C(=O)c1ccc(cc1)[C]=Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-],false_negative,unusual_metal
540,[Zn].c1ncn(c1)c1ccc(cc1)N(c1ccc(cc1)n1cncc1)c1ccc(cc1)n1cncc1,false_negative,unexplained
561,[N][N][CH][C]C(=O)[O-].[O-]C(=O)[C]1[CH][N][N][CH]1.[Zn][O]([Zn])([Zn])[Zn].[Zn][O]([Zn])[Zn],false_negative,unexplained
562,[O-]C(=O)[C]1[CH][N][N][CH]1.[Zn][O]([Zn])([Zn])[Zn].[Zn][O]([Zn])[Zn],false_negative,unexplained
633,[Cu].n1ccc(cc1)c1nnc(o1)c1ccncc1,false_negative,unexplained
635,[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn][OH][Zn],false_positive,unexplained
680,O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Co],false_negative,unexplained
687,[Mg].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)c1ccc(cc1)C(=O)[O-],false_positive,unexplained
723,[Co].[Li].[O-]C(=O)c1cc(cc(c1)C1([O])OO1)C(=O)[O-],false_positive,unexplained
