mof_id,precursor,error_type,likely_cause
119,[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1)C(=O)[O-].[Sm],false_positive,unusual_metal
120,[Eu].[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1)C(=O)[O-],false_positive,unexplained
122,[Ce].[O-]C(=O)c1ccc(cc1)N=Nc1ccc(cc1)C(=O)[O-],false_positive,unusual_metal
138,Cc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Na].[O-]C(=O)C1=C[C]=CC(=C1)C(=O)[O-].[Zn],false_negative,unexplained
198,[Cu].n1ncc([nH]1)c1ccc(cc1)c1cnn[nH]1,false_negative,unexplained
199,[Cu].n1ncc([nH]1)c1ccc(cc1)c1cnn[nH]1,false_negative,unexplained
214,[Ni][OH2][Ni].[O-]C(=O)C1CC(C(=O)O)C(CC1C(=O)O)C(=O)[O-].c1cnc(nc1)c1ncccn1.n1ccc(cc1)c1ccncc1,false_negative,unexplained
303,[Cd].c1ncn(c1)c1ccc(cc1)N(c1ccc(cc1)n1cncc1)c1ccc(cc1)n1cncc1,false_negative,unexplained
338,[Mn].[O]S(=O)(=O)[O].c1ncn(c1)Cc1cc(cc(c1)Cn1cncc1)Cn1cncc1,false_positive,unexplained
408,[Mg].[O-]C(=O)C1=NN=C([CH]1)C(=O)[O-].[O-]C(=O)C1=N[N]C(=C1)C(=O)[O-].[OH],false_negative,unexplained
758,[Co].c1ncn(c1)Cc1ccc(cc1)c1ccc(cc1)Cn1cncc1,false_negative,unexplained
830,O=C(c1ccc(cc1)C(=O)Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-])Nc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Tb].[Tb][Tb],false_negative,unexplained
841,C(Cn1cncc1)CCn1cncc1.[Ag][Ag],false_negative,unexplained
879,[C]1N=NN=N1.[Cd].[N]1N=N[C]=N1.[O-]C(=O)C1=C[C]=CC(=C1)C(=O)[O-].[O],false_negative,unexplained
