feature,mean_abs_shap,shap_trend,materials_meaning
metal_electronegativity_avg,0.38362685,negative,metal electronegativity (avg over node)
metal_covalent_radius_avg,0.25464925,positive,metal covalent radius (avg over node) -- associated with node geometry
num_metal_atoms,0.20179696,negative,cluster nuclearity (single- vs. multi-metal SBU)
metal_Cu,0.18421933,negative,metal identity indicator
metal_Ag,0.1369394,negative,metal identity indicator
MolWt,0.12389758,negative,associated with linker/framework size
metal_atomic_weight_avg,0.12010164,negative,correlated with framework density
TPSA,0.11294306,negative,polar surface area -- associated with framework polarity
MolLogP,0.10670549,nonlinear,hydrophobicity indicator
fp_107,0.0959029,positive,substructure: ccc
NumRotatableBonds,0.09336979,positive,linker flexibility indicator
FractionCSP3,0.0792929,positive,sp3 fraction -- associated with flexibility vs. rigidity
NumCarboxylGroups,0.072672196,positive,carboxylate count -- common MOF coordination group
fp_210,0.067238875,negative,substructure: C=C([N])C=CC
metal_atomic_number_avg,0.06422582,nonlinear,correlated with metal identity/periodic row
